essId	wdCnt	StsCnt	lWdCnt	advCnt	adjCnt	nunCnt	verbCnt	vbgCnt	cmaCnt	punCnt	wdLen
27	.098	.08	.098	.0	.09	.113	.059	.0	.085	.055	.701
28	.305	.318	.311	.112	.234	.387	.227	.306	.228	.219	.761
29	.29	.261	.258	.134	.414	.318	.177	.204	.313	.18	.777
30	.23	.17	.182	.179	.252	.257	.168	.102	.085	.117	.729
31	.433	.386	.295	.312	.342	.426	.37	.306	.427	.266	.706
32	.426	.409	.356	.223	.324	.44	.387	.374	.37	.282	.737
33	.139	.136	.114	.0	.198	.178	.076	.068	.1	.094	.761
34	.296	.295	.258	.156	.198	.396	.219	.068	.214	.203	.73
35	.292	.375	.295	.045	.432	.318	.261	.136	.313	.258	.812
36	.429	.273	.417	.067	.665	.392	.345	.34	.499	.188	.741
37	.405	.352	.311	.134	.306	.483	.362	.306	.356	.243	.761
38	.254	.193	.326	.067	.234	.309	.21	.136	.1	.133	.816
39	.388	.25	.295	.089	.306	.457	.37	.34	.1	.172	.739
40	.162	.17	.159	.022	.126	.205	.126	.034	.043	.117	.772
41	.034	.034	.038	.0	.018	.048	.034	.0	.0	.023	.779
42	.209	.159	.152	.201	.198	.239	.143	.068	.0	.11	.688
43	.122	.091	.106	.067	.072	.152	.101	.034	.028	.063	.742
44	.305	.318	.205	.134	.09	.366	.311	.034	.071	.219	.641
45	.273	.227	.205	.134	.18	.352	.135	.102	.199	.156	.705
46	.269	.125	.242	.0	.18	.257	.387	.034	.085	.086	.761
47	.252	.205	.197	.045	.18	.344	.194	.034	.085	.141	.731
48	.407	.375	.258	.179	.216	.492	.412	.34	.313	.258	.676
49	.228	.307	.303	.045	.162	.318	.185	.034	.085	.211	.871
50	.068	.045	.068	.045	.054	.083	.067	.0	.014	.023	.799
51	.324	.148	.144	.067	.396	.326	.286	.034	.071	.094	.667
52	.205	.17	.197	.022	.198	.235	.21	.17	.043	.117	.778
53	.296	.307	.265	.156	.108	.361	.278	.102	.299	.211	.706
54	.373	.341	.371	.223	.252	.426	.32	.238	.37	.235	.765
55	.181	.125	.205	.067	.306	.187	.135	.0	.1	.094	.809
56	.433	.25	.727	.223	.396	.557	.32	.306	.157	.172	.931
57	.284	.261	.417	.0	.342	.331	.236	.204	.157	.18	.837
58	.145	.159	.167	.067	.108	.161	.109	.034	.1	.11	.741
59	.328	.25	.364	.089	.378	.392	.261	.204	.114	.172	.805
60	.07	.068	.098	.022	.054	.087	.051	.0	.071	.047	.817
61	.264	.261	.258	.156	.162	.283	.311	.51	.128	.18	.766
62	.235	.159	.152	.067	.216	.265	.236	.102	.1	.11	.704
63	.205	.193	.212	.045	.27	.235	.152	.0	.157	.133	.791
64	.171	.068	.129	.045	.072	.213	.177	.136	.0	.047	.694
65	.316	.273	.326	.268	.18	.339	.354	.476	.214	.188	.768
66	.277	.284	.333	.134	.144	.331	.295	.374	.242	.196	.842
67	.252	.227	.22	.112	.324	.3	.194	.034	.185	.156	.779
68	.333	.375	.341	.134	.396	.37	.278	.238	.285	.258	.756
69	.168	.205	.121	.112	.09	.209	.152	.17	.214	.141	.721
70	.371	.318	.515	.156	.378	.426	.152	.102	.342	.219	.827
71	.358	.239	.227	.112	.234	.435	.328	.102	.142	.164	.743
72	.48	.284	.705	.179	.629	.535	.379	.306	.584	.196	.858
73	.388	.239	.303	.379	.306	.344	.236	.204	.128	.156	.669
74	.232	.33	.159	.089	.09	.309	.236	.136	.413	.227	.709
75	.322	.239	.333	.045	.252	.413	.311	.306	.299	.164	.825
76	.29	.216	.364	.201	.162	.274	.269	.068	.385	.149	.807
77	.473	.534	.553	.246	.36	.587	.345	.102	.256	.368	.783
78	.463	.375	.265	.246	.18	.453	.328	.102	.157	.266	.622
79	.262	.205	.25	.045	.108	.374	.185	.136	.214	.141	.763
80	.386	.239	.295	.179	.342	.444	.286	.544	.299	.164	.755
81	.267	.182	.28	.045	.216	.335	.236	.136	.328	.125	.764
82	.224	.261	.295	.067	.198	.292	.143	.204	.128	.18	.895
83	.128	.102	.144	.0	.126	.157	.118	.068	.014	.07	.8
84	.124	.125	.076	.067	.09	.135	.101	.102	.0	.086	.667
85	.405	.352	.424	.312	.486	.44	.354	.374	.199	.243	.777
86	.45	.318	.614	.067	.378	.601	.303	.102	.114	.219	.845
87	.36	.443	.311	.179	.27	.357	.295	.238	.399	.305	.743
88	.267	.216	.288	.067	.27	.292	.269	.204	.114	.149	.773
89	.179	.33	.189	.0	.018	.287	.135	.17	.085	.227	.775
90	.194	.102	.197	.045	.234	.218	.126	.068	.171	.07	.711
91	.2	.17	.22	.067	.18	.257	.126	.068	.057	.117	.756
92	.554	.58	.53	.223	.522	.566	.471	.306	.584	.399	.73
93	.548	.25	.735	.223	.612	.648	.328	.17	.328	.172	.84
94	.256	.284	.235	.067	.126	.313	.303	.204	.157	.196	.722
95	.341	.409	.258	.134	.234	.322	.337	.068	.185	.282	.717
96	.181	.17	.212	.067	.162	.239	.109	.136	.142	.117	.812
97	.264	.239	.273	.112	.216	.3	.227	.238	.128	.164	.791
98	.36	.386	.295	.156	.198	.457	.269	.272	.356	.266	.769
99	.333	.227	.197	.134	.108	.309	.303	.272	.199	.156	.663
100	.211	.193	.106	.156	.18	.244	.135	.136	.057	.133	.622
101	.429	.455	.341	.179	.36	.47	.37	.442	.256	.313	.727
102	.22	.295	.235	.067	.162	.274	.168	.17	.057	.203	.784
103	.313	.205	.28	.089	.288	.283	.269	.102	.313	.141	.708
104	.339	.239	.379	.156	.36	.4	.295	.136	.271	.164	.817
105	.399	.386	.288	.134	.216	.47	.303	.136	.256	.266	.69
106	.337	.341	.432	.134	.324	.339	.303	.238	.171	.235	.828
107	.542	.591	.652	.29	.504	.648	.429	.17	.356	.407	.819
108	.294	.239	.212	.246	.126	.383	.168	.034	.299	.164	.709
109	.271	.273	.159	.179	.252	.322	.194	.0	.157	.188	.702
110	.217	.148	.152	.022	.414	.261	.126	.068	.185	.094	.747
111	.507	.409	.538	.29	.576	.496	.446	.272	.442	.282	.782
112	.335	.341	.341	.156	.234	.383	.32	.238	.1	.227	.747
113	.264	.318	.242	.112	.198	.309	.202	.204	.114	.219	.772
114	.309	.273	.409	.112	.252	.387	.227	.17	.256	.188	.845
115	.397	.33	.152	.223	.216	.326	.488	.204	.128	.227	.613
116	.049	.045	.076	.0	.0	.057	.084	.204	.043	.031	.871
117	.267	.284	.212	.112	.288	.309	.227	.034	.242	.196	.749
118	.435	.318	.402	.201	.342	.426	.236	.068	.427	.219	.752
119	.407	.42	.227	.134	.306	.383	.471	.476	.541	.29	.682
120	.277	.227	.258	.112	.216	.27	.345	.136	.071	.156	.747
121	.303	.193	.106	.179	.288	.287	.194	.068	.157	.164	.631
122	.454	.33	.5	.29	.432	.548	.32	.136	.242	.227	.785
123	.316	.33	.356	.089	.324	.374	.286	.17	.157	.227	.794
124	.13	.102	.091	.067	.198	.139	.093	.068	.014	.07	.723
125	.104	.011	.144	.022	.09	.144	.084	.136	.0	.0	.843
126	.213	.114	.205	.067	.216	.252	.219	.068	.014	.078	.762
127	.322	.261	.364	.179	.27	.405	.261	.17	.071	.188	.791
128	.303	.341	.258	.112	.27	.374	.269	.306	.185	.235	.796
129	.296	.295	.205	.223	.144	.322	.32	.102	.228	.196	.696
130	.559	.443	.652	.201	.701	.653	.337	.306	.142	.305	.813
131	.407	.273	.318	.134	.27	.457	.337	.272	.399	.188	.719
132	.435	.284	.598	.29	.36	.466	.278	.17	.285	.196	.823
133	.388	.5	.258	.179	.396	.418	.278	.204	.356	.344	.701
134	.307	.273	.371	.112	.288	.383	.236	.068	.171	.188	.823
135	.241	.125	.182	.045	.126	.265	.286	.068	.157	.086	.743
136	.482	.466	.227	.179	.306	.518	.446	.408	.385	.321	.64
137	.22	.091	.182	.0	.126	.305	.152	.136	.071	.063	.717
138	.358	.284	.333	.134	.288	.426	.337	.238	.157	.188	.765
139	.117	.136	.114	.067	.054	.157	.084	.068	.057	.094	.751
140	.296	.341	.379	.112	.252	.318	.295	.17	.128	.235	.834
141	.467	.375	.47	.469	.306	.483	.396	.408	.356	.258	.763
142	.324	.273	.409	.246	.504	.322	.219	.204	.484	.188	.822
143	.243	.216	.174	.089	.144	.279	.21	.102	.157	.141	.698
144	.32	.352	.348	.022	.288	.392	.337	.204	.114	.243	.792
145	.35	.273	.576	.156	.342	.422	.261	.204	.313	.188	.924
146	.151	.034	.091	.022	.144	.165	.109	.17	.0	.023	.686
147	.576	.443	.515	.201	.504	.657	.488	.442	.228	.305	.775
148	.264	.193	.167	.067	.198	.309	.278	.034	.085	.133	.727
149	.328	.227	.288	.067	.342	.409	.21	.17	.114	.156	.766
150	.271	.273	.22	.089	.108	.361	.202	.17	.171	.188	.713
151	.175	.08	.121	.022	.072	.218	.202	.034	.043	.055	.719
152	.171	.125	.167	.0	.198	.218	.101	.034	.071	.086	.793
153	.35	.318	.227	.335	.306	.374	.32	.136	.256	.219	.689
154	.362	.375	.439	.29	.252	.426	.278	.204	.499	.258	.789
155	.412	.318	.432	.134	.54	.461	.261	.272	.128	.219	.747
156	.258	.33	.205	.045	.27	.265	.185	.034	.214	.227	.707
157	.452	.33	.47	.268	.468	.457	.303	.408	.199	.227	.732
158	.337	.295	.462	.201	.288	.431	.194	.136	.114	.203	.858
159	.403	.42	.455	.246	.18	.47	.387	.714	.527	.29	.752
160	.245	.239	.182	.312	.234	.252	.227	.204	.228	.164	.707
161	.354	.341	.341	.089	.324	.396	.354	.17	.342	.235	.788
162	.454	.33	.523	.089	.432	.579	.303	.102	.399	.227	.818
163	.241	.25	.311	.067	.162	.322	.185	.102	.028	.172	.799
164	.209	.102	.25	.067	.198	.296	.109	.0	.285	.07	.849
165	.362	.341	.295	.179	.36	.37	.311	.204	.256	.235	.753
166	.499	.375	.417	.246	.612	.492	.421	.306	.313	.25	.737
167	.239	.227	.159	.201	.27	.191	.227	.102	.199	.156	.656
168	.382	.182	.409	.112	.486	.448	.269	.068	.228	.125	.798
169	.151	.114	.189	.134	.108	.174	.109	.102	.157	.078	.855
170	.228	.239	.235	.045	.306	.252	.152	.136	.142	.164	.764
171	.2	.057	.174	.022	.252	.231	.152	.102	.014	.039	.717
172	.171	.068	.136	.067	.162	.222	.118	.068	.0	.047	.718
173	.203	.136	.174	.067	.036	.261	.219	.102	.285	.094	.725
174	.316	.284	.22	.067	.198	.396	.337	.17	.043	.188	.743
175	.275	.239	.265	.089	.306	.305	.185	.374	.157	.164	.761
176	.335	.227	.326	.179	.288	.37	.37	.17	.242	.156	.77
177	.22	.261	.197	.067	.108	.3	.16	.0	.157	.18	.726
178	.281	.227	.182	.045	.198	.318	.185	.102	.157	.156	.731
179	.235	.261	.394	.0	.27	.292	.152	.034	.171	.18	.892
180	.35	.341	.242	.156	.36	.357	.261	.136	.271	.235	.704
181	.426	.341	.583	.179	.45	.513	.202	.0	.442	.235	.837
182	.222	.193	.129	.112	.108	.326	.135	.068	.1	.133	.713
183	.35	.295	.303	.335	.27	.379	.278	.51	.342	.203	.746
184	.273	.182	.174	.022	.054	.252	.412	.17	.028	.125	.685
185	.277	.318	.303	.0	.162	.37	.244	.102	.114	.219	.813
186	.284	.25	.28	.067	.324	.352	.236	.136	.114	.172	.758
187	.09	.034	.076	.0	.054	.126	.076	.0	.014	.023	.684
188	.299	.261	.273	.089	.27	.374	.244	.068	.014	.18	.762
189	.124	.227	.174	.0	.036	.152	.126	.068	.028	.156	.869
190	.286	.261	.311	.223	.27	.331	.202	.204	.313	.18	.791
191	.19	.182	.212	.179	.216	.183	.168	.068	.1	.125	.802
192	.431	.443	.348	.134	.27	.596	.295	.136	.328	.305	.761
193	.301	.33	.402	.112	.306	.405	.16	.102	.085	.227	.847
194	.471	.386	.379	.223	.414	.557	.37	.136	.413	.266	.76
195	.098	.102	.076	.0	.09	.096	.076	.0	.085	.07	.668
196	.29	.318	.212	.067	.414	.379	.16	.068	.071	.219	.718
197	.371	.284	.318	.067	.342	.435	.244	.204	.228	.196	.716
198	.392	.261	.492	.179	.396	.422	.295	.136	.271	.18	.821
199	.633	.443	.583	.268	.54	.77	.463	.476	.641	.305	.734
200	.292	.307	.265	.112	.198	.331	.202	.0	.043	.211	.746
201	.352	.307	.417	.246	.486	.366	.227	.272	.1	.203	.795
202	.279	.318	.311	.156	.27	.309	.303	.204	.114	.219	.787
203	.324	.307	.258	.312	.288	.339	.303	.068	.043	.203	.714
204	.309	.375	.295	.134	.18	.361	.261	.0	.171	.258	.762
205	.533	.534	.394	.335	.522	.509	.421	.408	.427	.368	.706
206	.311	.284	.356	.089	.378	.37	.236	.136	.342	.196	.813
207	.23	.284	.227	.201	.198	.248	.219	.102	.071	.196	.774
208	.136	.114	.227	.022	.126	.191	.093	.034	.114	.078	.868
209	.134	.091	.106	.0	.198	.152	.118	.136	.028	.063	.73
210	.358	.295	.424	.022	.522	.418	.32	.306	.214	.203	.813
211	.111	.136	.136	.0	.216	.144	.051	.0	.014	.094	.777
212	.2	.227	.083	.045	.054	.292	.126	.136	.071	.156	.666
213	.205	.227	.114	.156	.09	.248	.202	.102	.114	.156	.669
214	.303	.159	.318	.089	.18	.366	.227	.34	.128	.11	.744
215	.597	.318	.682	.223	.522	.709	.463	.51	.214	.219	.782
216	.305	.227	.182	.112	.27	.352	.32	.17	.114	.156	.745
217	.397	.443	.326	.134	.252	.387	.421	.374	.641	.305	.748
218	.267	.295	.174	.0	.288	.326	.177	.034	.043	.203	.678
219	.341	.261	.273	.223	.27	.357	.278	.136	.142	.18	.715
220	.435	.42	.47	.045	.288	.487	.379	.102	.242	.29	.791
221	.166	.216	.144	.045	.108	.2	.168	.136	.085	.141	.756
222	.426	.307	.432	.089	.288	.431	.295	.204	.328	.211	.754
223	.39	.159	.22	.156	.252	.466	.303	.238	.299	.102	.671
224	.32	.239	.212	.112	.18	.352	.253	.068	.057	.156	.704
225	.418	.489	.402	.179	.216	.413	.497	.374	.271	.336	.742
226	.222	.216	.182	.022	.126	.239	.269	.136	.128	.149	.758
227	.326	.307	.25	.089	.288	.379	.261	.17	.128	.211	.746
228	.303	.125	.205	.089	.198	.296	.37	.136	.342	.078	.685
229	.222	.273	.098	.179	.108	.244	.236	.034	.057	.188	.664
230	.35	.352	.318	.089	.306	.4	.303	.272	.214	.243	.731
231	.235	.261	.227	.112	.198	.279	.202	.238	.085	.18	.743
232	.458	.409	.455	.156	.342	.492	.387	.374	.598	.29	.765
233	.241	.102	.25	.045	.288	.313	.16	.136	.085	.07	.791
234	.301	.364	.356	.134	.252	.383	.202	.17	.171	.25	.791
235	.188	.216	.205	.022	.252	.239	.152	.0	.142	.149	.773
236	.156	.114	.068	.0	.162	.178	.143	.102	.057	.078	.671
237	.271	.193	.303	.089	.108	.309	.286	.17	.1	.133	.799
238	.26	.148	.212	.089	.324	.296	.194	.068	.043	.102	.734
239	.345	.239	.364	.335	.144	.396	.396	.714	.128	.164	.762
240	.232	.216	.212	.0	.09	.331	.143	.136	.214	.149	.752
241	.217	.136	.167	.067	.216	.231	.177	.136	.085	.094	.714
242	.375	.352	.318	.179	.126	.4	.379	.442	.328	.235	.722
243	.397	.386	.288	.067	.36	.505	.354	.136	.256	.266	.729
244	.249	.17	.121	.022	.306	.322	.168	.204	.071	.11	.691
245	.115	.08	.098	.067	.072	.131	.126	.034	.0	.055	.777
246	.51	.5	.508	.134	.342	.64	.446	.136	.356	.344	.788
247	.333	.318	.235	.134	.18	.339	.32	.34	.47	.219	.732
248	.335	.455	.242	.134	.144	.413	.345	.204	.128	.313	.748
249	.354	.261	.333	.223	.306	.396	.295	.102	.271	.18	.712
250	.252	.273	.197	.089	.144	.3	.227	.17	.242	.188	.736
251	.382	.307	.341	.246	.306	.4	.421	.068	.356	.211	.748
252	.326	.295	.311	.112	.288	.379	.311	.204	.071	.203	.753
253	.198	.159	.159	.022	.234	.174	.126	.0	.028	.11	.626
254	.484	.352	.288	.246	.216	.561	.471	.17	.228	.243	.683
255	.237	.261	.189	.089	.198	.292	.185	.17	.185	.18	.741
256	.224	.17	.174	.134	.234	.226	.185	.068	.157	.117	.72
257	.326	.227	.227	.067	.27	.383	.295	.068	.057	.156	.692
258	.401	.295	.523	.223	.54	.457	.278	.306	.285	.203	.796
259	.35	.307	.402	.179	.306	.374	.303	.17	.413	.211	.75
260	.237	.341	.227	.179	.216	.292	.194	.068	.014	.235	.745
261	.375	.341	.371	.067	.216	.435	.438	.442	.385	.235	.761
262	.164	.136	.136	.022	.144	.209	.126	.034	.043	.094	.725
263	.522	.341	.455	.045	.396	.653	.438	.17	.228	.235	.737
264	.309	.205	.341	.089	.306	.392	.21	.102	.085	.141	.76
265	.337	.409	.242	.112	.378	.357	.236	.17	.285	.274	.736
266	.333	.284	.485	.179	.288	.374	.202	.17	.613	.196	.848
267	.412	.261	.492	.156	.324	.47	.337	.204	.342	.18	.835
268	.203	.193	.265	.223	.126	.226	.194	.204	.1	.133	.821
269	.343	.239	.295	.201	.144	.418	.295	.374	.256	.156	.724
270	.299	.295	.189	.089	.27	.322	.354	.238	.171	.203	.703
271	.186	.227	.235	.112	.144	.196	.168	.102	.185	.156	.774
272	.461	.443	.379	.223	.504	.513	.311	.068	.598	.305	.705
273	.269	.125	.129	.045	.288	.274	.177	.068	.014	.086	.672
274	.33	.307	.386	.179	.252	.383	.253	.102	.185	.203	.754
275	.369	.307	.455	.134	.432	.457	.261	.204	.299	.211	.807
276	.196	.193	.159	.045	.162	.244	.152	.238	.043	.133	.73
277	.335	.261	.333	.089	.306	.387	.261	.204	.313	.188	.756
278	.247	.25	.326	.067	.306	.3	.202	.272	.171	.172	.861
279	.388	.386	.515	.134	.378	.505	.278	.136	.228	.266	.836
280	.362	.386	.348	.201	.36	.37	.286	.102	.128	.266	.759
281	.194	.182	.182	.089	.144	.213	.118	.068	.085	.125	.727
282	.279	.227	.341	.089	.234	.335	.177	.102	.157	.156	.786
283	.151	.125	.144	.112	.09	.165	.152	.034	.043	.086	.717
284	.23	.17	.197	.089	.234	.283	.168	.034	.114	.117	.777
285	.448	.33	.371	.335	.342	.5	.421	.136	.356	.227	.738
286	.066	.045	.038	.022	.036	.061	.059	.034	.028	.031	.646
287	.51	.364	.538	.268	.342	.487	.429	.408	.271	.25	.754
288	.262	.295	.265	.156	.144	.326	.253	.034	.114	.203	.762
289	.322	.239	.402	.089	.396	.396	.202	.204	.299	.164	.806
290	.394	.33	.432	.29	.504	.448	.295	.408	.399	.227	.805
291	.388	.364	.492	.112	.396	.487	.261	.238	.413	.25	.837
292	.495	.409	.53	.134	.27	.596	.429	.34	.271	.282	.78
293	.198	.193	.136	.134	.162	.183	.126	.034	.057	.133	.683
294	.354	.295	.295	.089	.306	.435	.194	.102	.071	.203	.72
295	.299	.284	.295	.156	.234	.352	.295	.34	.285	.196	.778
296	.322	.261	.258	.112	.18	.392	.219	.034	.085	.18	.741
297	.414	.33	.417	.112	.306	.527	.328	.17	.356	.227	.771
298	.26	.295	.25	.0	.288	.326	.227	.034	.114	.203	.775
299	.252	.239	.22	.201	.234	.309	.168	.0	.171	.164	.761
300	.473	.432	.364	.179	.306	.47	.404	.374	.37	.297	.684
301	.309	.33	.273	.089	.234	.305	.202	.17	.285	.227	.722
302	.518	.511	.75	.312	.432	.627	.362	.17	.385	.352	.859
303	.394	.318	.348	.201	.432	.444	.236	.272	.385	.219	.739
304	.495	.295	.333	.201	.378	.496	.37	.272	.043	.203	.698
305	.371	.295	.348	.045	.288	.4	.278	.238	.442	.203	.738
306	.337	.352	.311	.089	.306	.374	.345	.306	.242	.243	.786
307	.292	.295	.242	.112	.162	.322	.286	.306	.142	.203	.703
308	.081	.023	.053	.045	.036	.1	.084	.034	.043	.016	.696
309	.33	.193	.197	.022	.288	.379	.286	.306	.043	.141	.709
310	.337	.193	.447	.067	.432	.413	.177	.068	.142	.133	.823
311	.258	.307	.227	.112	.198	.305	.219	.136	.228	.211	.758
312	.192	.227	.106	.067	.036	.205	.236	.034	.071	.156	.714
314	.313	.239	.348	.067	.342	.374	.286	.136	.1	.164	.762
315	.384	.25	.447	.067	.594	.461	.219	.17	.37	.172	.824
316	.471	.33	.561	.201	.414	.566	.421	.272	.627	.227	.831
317	.433	.375	.697	.156	.36	.513	.362	.306	.228	.258	.859
318	.333	.239	.288	.156	.324	.413	.236	.136	.085	.156	.738
319	.335	.33	.402	.179	.27	.339	.32	.204	.37	.227	.815
320	.29	.136	.205	.112	.234	.348	.295	.34	.157	.094	.737
321	.529	.33	.47	.067	.504	.544	.421	.408	.299	.227	.716
322	.269	.193	.235	.089	.072	.313	.278	.204	.128	.125	.738
323	.286	.307	.242	.179	.216	.339	.227	.306	.043	.211	.772
324	.277	.227	.22	.179	.09	.344	.295	.102	.199	.156	.743
325	.271	.205	.258	.112	.396	.318	.185	.17	.442	.141	.765
326	.578	.466	.742	.223	.558	.683	.412	.408	.513	.321	.853
327	.316	.295	.167	.067	.486	.339	.253	.136	.071	.203	.694
328	.267	.341	.265	.0	.198	.366	.227	.238	.014	.235	.77
329	.249	.205	.159	.067	.144	.305	.269	.102	.071	.141	.715
330	.586	.409	.659	.134	.45	.631	.471	.272	.328	.282	.759
331	.341	.398	.333	.134	.288	.392	.337	.442	.47	.274	.771
332	.275	.227	.174	.246	.126	.326	.16	.068	.057	.156	.68
333	.367	.341	.288	.357	.198	.37	.21	.204	.271	.235	.698
334	.559	.511	.545	.223	.432	.718	.446	.238	.043	.352	.75
335	.237	.182	.227	.022	.198	.248	.227	.238	.157	.125	.767
336	.469	.409	.447	.223	.414	.496	.429	.272	.285	.282	.76
337	.275	.273	.364	.179	.378	.3	.185	.102	.242	.188	.852
338	.164	.102	.144	.022	.036	.205	.152	.17	.028	.07	.705
339	.439	.273	.447	.022	.432	.492	.412	.272	.271	.188	.776
340	.313	.33	.47	.089	.342	.379	.261	.238	.242	.227	.825
341	.205	.17	.22	.067	.198	.279	.135	.034	.142	.117	.788
342	.418	.307	.356	.134	.162	.566	.295	.136	.285	.211	.765
343	.341	.307	.356	.156	.306	.383	.295	.17	.157	.219	.756
345	.386	.205	.288	.112	.216	.44	.345	.136	.271	.133	.701
346	.608	.364	.492	.223	.504	.701	.48	.272	.641	.25	.72
347	.177	.136	.129	.022	.198	.209	.16	.068	.028	.094	.73
348	.252	.17	.189	.045	.216	.331	.143	.238	.057	.117	.721
349	.194	.17	.159	.067	.126	.231	.168	.034	.043	.117	.725
350	.296	.307	.235	.29	.198	.279	.244	.034	.114	.211	.731
351	.313	.375	.28	.156	.216	.383	.311	.17	.071	.258	.781
352	.2	.125	.114	.156	.054	.248	.177	.238	.1	.086	.694
353	.094	.114	.114	.0	.054	.144	.059	.0	.0	.078	.813
354	.256	.227	.273	.179	.144	.292	.16	.034	.071	.149	.799
355	.13	.148	.144	.045	.072	.161	.126	.0	.128	.102	.721
356	.23	.25	.273	.112	.18	.279	.143	.272	.256	.172	.817
357	.245	.193	.25	.112	.288	.239	.261	.374	.171	.133	.767
358	.173	.091	.235	.089	.126	.17	.21	.306	.057	.055	.799
359	.006	.011	.008	.0	.018	.009	.0	.0	.014	.008	.882
360	.154	.125	.136	.156	.126	.131	.177	.272	.085	.086	.726
361	.439	.5	.492	.201	.27	.544	.438	.17	.114	.344	.808
362	.403	.318	.432	.268	.504	.44	.303	.102	.598	.219	.776
363	.22	.114	.174	.045	.144	.287	.227	.204	.142	.078	.746
364	.493	.364	.689	.223	.576	.553	.404	.374	.755	.243	.893
365	.446	.318	.394	.312	.324	.479	.37	.442	.228	.219	.726
366	.281	.273	.167	.201	.144	.274	.202	.17	.228	.188	.676
367	.292	.193	.318	.022	.288	.352	.253	.17	.214	.133	.769
368	.322	.239	.364	.112	.126	.37	.337	.068	.256	.164	.757
369	.211	.205	.197	.156	.162	.231	.168	.17	.214	.141	.763
370	.518	.375	.568	.179	.378	.622	.362	.408	.513	.258	.799
371	.254	.273	.174	.134	.09	.305	.303	.068	.328	.188	.722
372	.45	.375	.455	.134	.54	.426	.379	.204	.313	.258	.759
373	.267	.216	.295	.134	.198	.257	.311	.34	.228	.149	.746
374	.316	.102	.326	.067	.252	.335	.379	.34	.085	.07	.752
375	.102	.057	.038	.0	.018	.152	.076	.068	.0	.039	.635
376	.443	.193	.394	.134	.414	.548	.354	.272	.085	.133	.74
377	.429	.341	.485	.223	.324	.509	.337	.374	.271	.235	.788
378	.352	.352	.303	.29	.36	.392	.295	.102	.356	.243	.757
379	.318	.318	.348	.022	.342	.44	.185	.17	.199	.219	.781
380	.271	.216	.295	.156	.342	.27	.152	.034	.356	.141	.757
381	.384	.409	.333	.246	.234	.448	.261	.17	.199	.282	.745
382	.209	.239	.167	.089	.108	.244	.21	.17	.142	.164	.757
383	.36	.341	.356	.067	.36	.335	.396	.17	.199	.235	.8
384	.207	.17	.152	.067	.252	.218	.152	.068	.142	.117	.701
385	.612	.42	.705	.201	.468	.696	.513	.17	.256	.29	.791
386	.284	.273	.22	.045	.252	.352	.21	.136	.256	.188	.761
387	.299	.216	.348	.201	.342	.339	.253	.17	.228	.149	.784
388	.209	.205	.227	.022	.162	.265	.194	.102	.085	.141	.778
389	.245	.227	.25	.134	.396	.252	.202	.0	.185	.156	.797
390	.316	.25	.311	.156	.324	.387	.261	.068	.271	.172	.735
391	.418	.375	.462	.424	.504	.461	.261	.204	.256	.25	.781
392	.286	.318	.273	.179	.234	.37	.21	.0	.028	.219	.781
393	.279	.273	.189	.29	.252	.248	.311	.204	.114	.188	.71
394	.102	.148	.083	.0	.144	.122	.084	.0	.057	.102	.698
395	.132	.114	.091	.089	.108	.157	.093	.068	.043	.078	.683
396	.286	.148	.227	.179	.27	.357	.194	.034	.128	.094	.712
397	.478	.42	.447	.312	.486	.487	.48	.612	.256	.282	.762
398	.367	.227	.295	.156	.378	.418	.311	.578	.37	.156	.779
