id	mls	mlt	mlc	c_s	vp_t	c_t	dc_c	dc_t	t_s	ct_t	cp_t	cp_c	cn_t	cn_c
115	0.0476	0.0368	0.0400	0.1568	0.1348	0.1450	0.4030	0.0712	0.1567	0.0765	0.1115	0.1303	0.0521	0.0964	
116	0.0498	0.0460	0.0766	0.0848	0.1124	0.0947	0.0000	0.0000	0.1299	0.0000	0.1829	0.3273	0.1075	0.3046	
117	0.0403	0.0391	0.0535	0.1032	0.1281	0.1152	0.3947	0.0554	0.1299	0.0443	0.0976	0.1436	0.0392	0.0914	
118	0.0494	0.0427	0.0533	0.1212	0.1086	0.1263	0.3600	0.0554	0.1391	0.0585	0.1382	0.1855	0.0631	0.1340	
119	0.0404	0.0296	0.0457	0.1211	0.1043	0.1020	0.2424	0.0301	0.1720	0.0339	0.0349	0.0579	0.0253	0.0665	
120	0.0557	0.0420	0.0389	0.1833	0.1662	0.1705	0.4444	0.0923	0.1558	0.1077	0.1016	0.1010	0.0394	0.0621	
121	0.0691	0.0362	0.0336	0.2534	0.1281	0.1697	0.4286	0.0886	0.2165	0.1145	0.0878	0.0877	0.0778	0.1229	
122	0.0641	0.0483	0.0560	0.1428	0.1223	0.1359	0.3115	0.0516	0.1523	0.0543	0.1435	0.1789	0.0471	0.0929	
123	0.0409	0.0369	0.0411	0.1357	0.1377	0.1417	0.3621	0.0625	0.1388	0.0625	0.0944	0.1129	0.0333	0.0630	
124	0.0573	0.0464	0.0302	0.2413	0.2809	0.2424	0.6875	0.2031	0.1443	0.2123	0.2439	0.1705	0.1135	0.1257	
125	0.5199	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
126	0.0938	0.0560	0.0371	0.2986	0.1966	0.2381	0.6136	0.1780	0.1818	0.1912	0.1394	0.0992	0.0688	0.0775	
127	0.0586	0.0465	0.0585	0.1269	0.1124	0.1253	0.3256	0.0497	0.1468	0.0533	0.2345	0.3171	0.0529	0.1134	
128	0.0376	0.0327	0.0463	0.1131	0.1058	0.1114	0.3400	0.0462	0.1472	0.0462	0.1937	0.2945	0.0223	0.0536	
129	0.0446	0.0341	0.0360	0.1656	0.1232	0.1491	0.3770	0.0685	0.1610	0.0685	0.1416	0.1610	0.0272	0.0489	
130	0.0592	0.0459	0.0623	0.1201	0.1149	0.1162	0.2319	0.0328	0.1498	0.0390	0.1951	0.2846	0.0489	0.1130	
131	0.0633	0.0517	0.0560	0.1414	0.1361	0.1457	0.4000	0.0710	0.1407	0.0710	0.0938	0.1091	0.0595	0.1097	
132	0.0659	0.0467	0.0548	0.1493	0.1087	0.1344	0.2727	0.0447	0.1610	0.0566	0.1023	0.1289	0.0505	0.1008	
133	0.0307	0.0320	0.0437	0.1034	0.1200	0.1154	0.3582	0.0504	0.1299	0.0482	0.0610	0.0896	0.0285	0.0664	
134	0.0502	0.0464	0.0437	0.1499	0.1662	0.1673	0.3774	0.0769	0.1299	0.0769	0.0915	0.0926	0.0738	0.1184	
135	0.0910	0.0525	0.0486	0.2221	0.1545	0.1705	0.4444	0.0923	0.1889	0.0923	0.1829	0.1818	0.0559	0.0880	
136	0.0411	0.0339	0.0367	0.1523	0.1194	0.1452	0.3478	0.0615	0.1520	0.0596	0.0508	0.0593	0.0269	0.0497	
137	0.1245	0.0476	0.0601	0.2376	0.1124	0.1248	0.4643	0.0706	0.2760	0.1303	0.1004	0.1364	0.0911	0.1958	
138	0.0620	0.0550	0.0723	0.1075	0.1334	0.1199	0.3684	0.0538	0.1299	0.0538	0.1016	0.1436	0.0896	0.2004	
139	0.0362	0.0333	0.0360	0.1414	0.1383	0.1457	0.3600	0.0639	0.1407	0.0639	0.0750	0.0873	0.0251	0.0463	
140	0.0354	0.0343	0.0527	0.0950	0.1087	0.1026	0.2143	0.0268	0.1342	0.0268	0.0708	0.1169	0.0255	0.0667	
141	0.0515	0.0300	0.0439	0.1522	0.0972	0.1078	0.2703	0.0355	0.2046	0.0391	0.1126	0.1769	0.0208	0.0519	
142	0.0529	0.0484	0.0503	0.1357	0.1334	0.1515	0.5000	0.0923	0.1299	0.0885	0.1423	0.1591	0.0452	0.0800	
143	0.0467	0.0362	0.0340	0.1822	0.1319	0.1680	0.2941	0.0602	0.1572	0.0642	0.0530	0.0535	0.0404	0.0645	
144	0.0398	0.0375	0.0454	0.1204	0.1387	0.1302	0.3636	0.0577	0.1341	0.0462	0.0381	0.0496	0.0376	0.0775	
145	0.0597	0.0512	0.0720	0.1046	0.1146	0.1121	0.2432	0.0332	0.1353	0.0332	0.1561	0.2359	0.0544	0.1301	
146	0.2010	0.0429	0.0351	0.6335	0.1379	0.1928	0.4286	0.1007	0.4762	0.2266	0.1774	0.1558	0.0735	0.1023	
147	0.0575	0.0492	0.0666	0.1096	0.1192	0.1164	0.3175	0.0450	0.1365	0.0450	0.1011	0.1472	0.0537	0.1238	
148	0.0653	0.0543	0.0535	0.1517	0.1342	0.1599	0.4737	0.0923	0.1375	0.0974	0.2032	0.2153	0.0401	0.0673	
149	0.0666	0.0584	0.0529	0.1561	0.1657	0.1742	0.5652	0.1200	0.1299	0.1200	0.1220	0.1186	0.0645	0.0993	
150	0.0398	0.0387	0.0495	0.1103	0.1007	0.1231	0.3077	0.0462	0.1299	0.0423	0.0711	0.0979	0.0509	0.1109	
151	0.1146	0.0821	0.0471	0.2812	0.2809	0.2746	0.6897	0.2308	0.1484	0.2423	0.3354	0.2069	0.1441	0.1408	
152	0.0624	0.0553	0.0487	0.1604	0.1481	0.1791	0.5769	0.1259	0.1299	0.1259	0.0443	0.0419	0.0704	0.1055	
153	0.0486	0.0361	0.0411	0.1551	0.1268	0.1385	0.3906	0.0659	0.1623	0.0791	0.1254	0.1534	0.0275	0.0533	
154	0.0403	0.0368	0.0536	0.1028	0.1124	0.1082	0.4400	0.0580	0.1377	0.0527	0.1185	0.1855	0.0319	0.0792	
155	0.0583	0.0473	0.0469	0.1576	0.1287	0.1588	0.3846	0.0744	0.1438	0.0774	0.0708	0.0755	0.0416	0.0703	
156	0.0292	0.0289	0.0397	0.1100	0.1015	0.1149	0.4255	0.0596	0.1388	0.0506	0.0708	0.1045	0.0294	0.0687	
157	0.0521	0.0462	0.0514	0.1311	0.1217	0.1414	0.3929	0.0677	0.1344	0.0677	0.0569	0.0682	0.0711	0.1349	
158	0.0508	0.0451	0.0684	0.0966	0.1082	0.1038	0.2973	0.0376	0.1349	0.0376	0.1174	0.1917	0.0312	0.0807	
159	0.0413	0.0341	0.0552	0.1018	0.0910	0.0974	0.2037	0.0242	0.1515	0.0242	0.0871	0.1515	0.0287	0.0790	
160	0.0468	0.0384	0.0445	0.1390	0.1217	0.1357	0.3953	0.0654	0.1484	0.0654	0.0305	0.0381	0.0401	0.0793	
161	0.0438	0.0378	0.0419	0.1403	0.1294	0.1423	0.3226	0.0559	0.1429	0.0615	0.0443	0.0528	0.0381	0.0717	
162	0.0648	0.0487	0.0539	0.1498	0.1239	0.1426	0.3125	0.0543	0.1523	0.0597	0.1148	0.1364	0.0501	0.0942	
163	0.0416	0.0419	0.0632	0.0895	0.0963	0.1046	0.3448	0.0440	0.1240	0.0440	0.0697	0.1129	0.0426	0.1092	
164	0.1032	0.0769	0.0571	0.2112	0.1966	0.2121	0.6071	0.1569	0.1443	0.1569	0.1707	0.1364	0.1755	0.2219	
165	0.0423	0.0406	0.0562	0.1018	0.1161	0.1136	0.2889	0.0400	0.1299	0.0400	0.0976	0.1455	0.0310	0.0731	
166	0.0558	0.0450	0.0509	0.1399	0.1275	0.1392	0.3235	0.0549	0.1456	0.0599	0.0791	0.0963	0.0502	0.0968	
167	0.0427	0.0314	0.0327	0.1765	0.1145	0.1515	0.3462	0.0639	0.1688	0.0675	0.0750	0.0839	0.0298	0.0527	
168	0.1014	0.0791	0.0491	0.2418	0.2313	0.2540	0.4561	0.1412	0.1380	0.1466	0.1291	0.0861	0.1275	0.1347	
169	0.0623	0.0395	0.0718	0.1086	0.1003	0.0866	0.2500	0.0264	0.1818	0.0132	0.0697	0.1364	0.0356	0.1104	
170	0.0369	0.0334	0.0348	0.1487	0.1319	0.1515	0.5000	0.0923	0.1422	0.0923	0.1167	0.1304	0.0912	0.1616	
171	0.1807	0.2375	0.1647	0.1222	0.3371	0.2273	0.6667	0.1846	0.0779	0.1846	0.2439	0.1818	0.1950	0.2302	
172	0.1213	0.0592	0.0362	0.3846	0.2303	0.2576	0.5000	0.1569	0.2165	0.1938	0.2195	0.1444	0.0946	0.0986	
173	0.0697	0.0520	0.0474	0.1810	0.1404	0.1732	0.4688	0.0989	0.1515	0.0857	0.2090	0.2045	0.1020	0.1580	
174	0.0507	0.0390	0.0507	0.1303	0.1142	0.1212	0.3750	0.0554	0.1558	0.0554	0.0976	0.1364	0.0413	0.0914	
175	0.0487	0.0348	0.0418	0.1527	0.1145	0.1311	0.2222	0.0355	0.1688	0.0320	0.0563	0.0727	0.0337	0.0690	
176	0.0664	0.0557	0.0455	0.1810	0.1660	0.1928	0.4286	0.1007	0.1361	0.1049	0.0776	0.0682	0.0633	0.0881	
177	0.0350	0.0323	0.0420	0.1180	0.1281	0.1212	0.3250	0.0480	0.1412	0.0517	0.0976	0.1364	0.0365	0.0807	
178	0.0481	0.0448	0.0848	0.0747	0.1011	0.0833	0.1818	0.0185	0.1299	0.0185	0.0610	0.1240	0.0335	0.1080	
179	0.0369	0.0323	0.0530	0.0974	0.0972	0.0962	0.1515	0.0178	0.1468	0.0178	0.0563	0.0992	0.0238	0.0665	
180	0.0387	0.0355	0.0455	0.1176	0.1211	0.1231	0.2885	0.0433	0.1385	0.0433	0.1220	0.1678	0.0527	0.1148	
181	0.0566	0.0511	0.0616	0.1170	0.1240	0.1306	0.4000	0.0637	0.1299	0.0637	0.1261	0.1636	0.0564	0.1158	
182	0.0531	0.0434	0.0440	0.1557	0.1478	0.1555	0.4872	0.0923	0.1451	0.0972	0.1926	0.2098	0.0344	0.0594	
183	0.0525	0.0480	0.0722	0.0940	0.1188	0.1049	0.2500	0.0320	0.1299	0.0320	0.0938	0.1515	0.0569	0.1455	
184	0.0647	0.0435	0.0322	0.2503	0.1953	0.2128	0.5424	0.1407	0.1705	0.1407	0.0697	0.0555	0.0459	0.0578	
185	0.0362	0.0348	0.0304	0.1673	0.1918	0.1803	0.5507	0.1210	0.1345	0.1082	0.0336	0.0316	0.0753	0.1121	
186	0.0520	0.0388	0.0376	0.1789	0.1311	0.1627	0.4483	0.0889	0.1594	0.0957	0.0632	0.0658	0.0331	0.0546	
187	0.1394	0.1681	0.2331	0.0679	0.0843	0.1136	0.3333	0.0462	0.0866	0.0462	0.2439	0.3637	0.0258	0.0609	
188	0.0520	0.0378	0.0407	0.1653	0.1317	0.1463	0.3571	0.0637	0.1638	0.0668	0.0925	0.1071	0.0427	0.0783	
189	0.0177	0.0249	0.0549	0.0577	0.0843	0.0715	0.1176	0.0103	0.1169	0.0103	0.0271	0.0641	0.0105	0.0394	
190	0.0482	0.0449	0.0524	0.1210	0.1246	0.1350	0.4146	0.0682	0.1299	0.0642	0.1060	0.1330	0.0494	0.0981	
