essId	gErrCnt	gErrTypes	sErrCnt	sErrTypes	gErrSpanSum	avgGErrSpan	gErrDen
82	.047	.272	.166	.163	.07	.144	.005
83	.039	.272	.166	.204	.114	.283	.011
84	.024	.109	.121	.143	.092	.38	.005
85	.024	.163	.242	.204	.07	.288	.002
86	.047	.326	.211	.245	.111	.229	.004
87	.095	.272	.181	.163	.105	.108	.006
88	.055	.272	.166	.143	.153	.269	.007
89	.008	.054	.076	.082	.025	.314	.001
90	.0	.0	.076	.102	.0	.0	.0
91	.024	.109	.136	.163	.14	.576	.004
92	.142	.38	.227	.286	.165	.113	.007
93	.103	.38	.317	.265	.168	.16	.012
94	.016	.109	.0	.0	.022	.137	.002
95	.063	.38	.136	.184	.073	.113	.004
96	.016	.109	.136	.184	.051	.314	.003
97	.016	.109	.242	.306	.035	.216	.002
98	.016	.109	.302	.184	.07	.432	.001
99	.087	.217	.196	.184	.038	.043	.011
100	.032	.217	.136	.163	.038	.118	.005
101	.063	.272	.166	.204	.102	.157	.004
102	.008	.054	.076	.082	.032	.393	.001
103	.024	.163	.045	.061	.025	.105	.003
104	.0	.0	.287	.163	.0	.0	.0
105	.103	.598	.121	.102	.2	.19	.008
106	.032	.109	.106	.102	.013	.039	.003
107	.039	.217	.151	.163	.14	.346	.002
108	.047	.217	.227	.245	.064	.131	.006
109	.039	.163	.0	.0	.111	.275	.004
110	.047	.163	.106	.082	.168	.347	.009
111	.032	.217	.181	.163	.045	.137	.002
112	.095	.435	.151	.204	.102	.105	.008
113	.039	.272	.272	.327	.108	.267	.004
114	.024	.163	.166	.224	.064	.262	.002
115	.103	.38	.287	.245	.111	.106	.009
116	.024	.054	.0	.0	.045	.183	.015
117	.039	.272	.121	.061	.124	.306	.004
118	.15	.435	.076	.102	.2	.13	.013
119	.087	.489	.211	.265	.137	.153	.006
120	.008	.054	.272	.224	.029	.353	.001
121	.071	.435	.514	.571	.086	.118	.01
122	.039	.163	.076	.102	.035	.086	.003
123	.055	.326	.06	.082	.127	.224	.005
124	.008	.054	.121	.143	.032	.393	.002
125	.032	.217	.121	.102	.067	.206	.079
126	.016	.109	.196	.245	.07	.432	.004
127	.032	.163	.015	.02	.07	.216	.003
128	.047	.326	.06	.061	.124	.255	.004
129	.016	.109	.166	.184	.019	.118	.002
130	.024	.163	.227	.184	.099	.406	.002
131	.079	.38	.045	.061	.184	.228	.008
132	.142	.217	.257	.286	.086	.059	.014
133	.039	.217	.151	.184	.073	.181	.002
134	.008	.054	.196	.184	.025	.314	.001
135	.032	.217	.211	.286	.083	.255	.007
136	.166	.652	.347	.388	.181	.107	.01
137	.032	.163	.106	.143	.079	.245	.01
138	.087	.435	.257	.347	.143	.161	.009
139	.0	.0	.06	.041	.0	.0	.0
140	.0	.0	.242	.224	.0	.0	.0
141	.079	.38	.196	.265	.102	.126	.006
142	.095	.272	.045	.061	.102	.105	.01
143	.047	.326	.257	.327	.175	.36	.006
144	.047	.326	.242	.265	.127	.262	.004
145	.016	.109	.302	.408	.029	.177	.002
146	.024	.163	.302	.265	.064	.262	.02
147	.055	.326	.181	.143	.175	.309	.004
148	.016	.109	.227	.245	.022	.137	.002
149	.008	.054	.438	.408	.041	.51	.001
150	.047	.272	.166	.163	.127	.262	.005
151	.039	.217	.151	.184	.067	.165	.014
152	.008	.054	.045	.02	.06	.746	.002
153	.039	.217	.03	.041	.089	.22	.004
154	.016	.109	.06	.061	.057	.353	.001
155	.15	.326	.121	.163	.086	.056	.013
156	.039	.217	.076	.102	.022	.055	.003
157	.126	.435	.287	.347	.175	.135	.011
158	.016	.109	.317	.265	.07	.432	.002
159	.071	.326	.166	.204	.057	.079	.005
160	.016	.109	.06	.082	.032	.196	.002
161	.032	.217	.181	.102	.076	.236	.003
162	.063	.38	.257	.327	.127	.196	.005
163	.024	.163	.378	.49	.048	.196	.003
164	.016	.109	.076	.102	.025	.157	.004
165	.024	.163	.529	.531	.045	.183	.002
166	.063	.217	.106	.122	.064	.098	.005
167	.118	.435	.121	.163	.102	.084	.015
168	.024	.163	.347	.347	.149	.615	.004
169	.008	.054	.076	.102	.01	.118	.002
170	.016	.109	.106	.122	.035	.216	.002
171	.024	.109	.06	.082	.025	.105	.012
172	.0	.0	.106	.122	.0	.0	.0
173	.071	.435	.242	.327	.121	.166	.015
174	.039	.163	.785	.837	.07	.173	.004
175	.032	.163	.06	.082	.064	.196	.004
176	.047	.109	.181	.184	.092	.19	.006
177	.055	.326	.121	.163	.175	.309	.006
178	.087	.38	.332	.388	.124	.139	.011
179	.024	.163	.091	.061	.054	.223	.003
180	.047	.272	.121	.143	.105	.216	.004
181	.071	.163	.166	.163	.035	.048	.006
182	.032	.217	.151	.163	.038	.118	.005
183	.095	.272	.06	.061	.067	.069	.009
184	.071	.38	.196	.184	.13	.179	.011
185	.055	.326	.166	.184	.095	.168	.005
186	.024	.109	.091	.122	.057	.236	.003
187	.016	.109	.091	.122	.01	.059	.013
188	.016	.109	.106	.122	.045	.275	.002
189	.024	.109	.091	.122	.029	.118	.003
190	.063	.38	.166	.163	.102	.157	.007
191	.008	.054	.121	.102	.029	.353	.001
192	.039	.109	.393	.408	.079	.196	.003
193	.024	.109	.106	.102	.076	.314	.002
194	.055	.272	.121	.163	.114	.202	.004
195	.024	.163	.06	.082	.038	.157	.007
196	.063	.38	.196	.245	.175	.27	.006
197	.071	.38	.091	.122	.137	.188	.007
198	.079	.217	.211	.286	.054	.067	.009
199	.11	.652	.347	.429	.308	.272	.007
200	.071	.217	.181	.184	.114	.157	.007
201	.008	.054	.091	.122	.025	.314	.001
202	.039	.217	.151	.163	.156	.385	.004
203	.024	.163	.091	.122	.057	.236	.002
204	.047	.326	.091	.102	.127	.262	.004
205	.095	.489	.393	.469	.178	.183	.005
206	.008	.054	.136	.122	.029	.353	.001
207	.024	.163	.06	.061	.067	.275	.002
208	.008	.054	.015	.02	.01	.118	.002
209	.047	.326	.045	.061	.07	.144	.015
210	.039	.272	.227	.122	.079	.196	.004
211	.0	.0	.076	.102	.0	.0	.0
212	.024	.163	.015	.02	.086	.353	.003
213	.039	.217	.181	.224	.149	.369	.005
214	.039	.217	.347	.429	.111	.275	.007
215	.095	.489	.181	.245	.2	.206	.008
216	.047	.326	.287	.224	.108	.223	.006
217	.047	.272	.151	.163	.092	.19	.003
218	.071	.38	.076	.082	.159	.218	.007
219	.032	.217	.136	.122	.07	.216	.003
220	.039	.217	.695	.755	.051	.126	.003
221	.0	.0	.06	.061	.0	.0	.0
222	.15	.543	.076	.102	.213	.138	.014
223	.071	.38	.151	.204	.207	.284	.013
224	.095	.326	.242	.286	.127	.131	.011
225	.039	.163	.211	.286	.029	.071	.002
226	.008	.054	.03	.041	.016	.196	.001
227	.047	.217	.136	.184	.114	.236	.004
228	.008	.054	.257	.163	.01	.118	.002
229	.024	.109	.257	.327	.07	.288	.002
230	.047	.272	.151	.143	.102	.209	.004
231	.008	.054	.136	.122	.057	.707	.001
232	.142	.272	.181	.245	.099	.068	.01
233	.016	.109	.831	1.0	.013	.079	.004
234	.032	.217	.045	.041	.057	.177	.002
235	.063	.38	.211	.245	.175	.27	.008
236	.016	.109	.408	.49	.064	.393	.004
237	.071	.326	.151	.163	.089	.122	.01
238	.024	.109	.166	.184	.076	.314	.005
239	.055	.38	.091	.122	.137	.241	.007
240	.008	.054	.166	.224	.01	.118	.001
241	.055	.38	.136	.184	.108	.191	.011
242	.071	.217	.091	.122	.102	.14	.006
243	.047	.163	.091	.122	.041	.085	.003
244	.11	.326	.227	.306	.127	.112	.018
245	.008	.054	.106	.102	.01	.118	.003
246	.095	.38	.121	.163	.216	.223	.005
247	.032	.217	.03	.041	.064	.196	.003
248	.079	.489	.211	.143	.203	.251	.005
249	.047	.217	.166	.224	.064	.131	.005
250	.032	.217	.121	.143	.083	.255	.003
251	.016	.109	.045	.061	.022	.137	.001
252	.055	.217	.121	.143	.105	.185	.005
253	.063	.217	.166	.224	.232	.358	.011
254	.063	.38	.378	.469	.114	.177	.005
255	.008	.054	.136	.184	.01	.118	.001
256	.047	.217	.045	.061	.035	.072	.008
257	.071	.38	.166	.184	.168	.231	.009
258	.024	.163	.06	.061	.064	.262	.002
259	.158	.543	.181	.143	.238	.147	.015
260	.032	.217	.196	.224	.073	.226	.003
261	.039	.217	.317	.245	.067	.165	.003
262	.016	.109	.03	.041	.057	.353	.003
263	.039	.272	.227	.184	.06	.149	.003
264	.0	.0	.121	.122	.0	.0	.0
265	.087	.217	.121	.143	.327	.368	.006
266	.071	.163	.196	.204	.051	.07	.007
267	.039	.217	.076	.102	.175	.432	.004
268	.016	.109	.076	.082	.041	.255	.002
269	.11	.598	.181	.204	.178	.157	.013
270	.024	.109	.181	.122	.051	.209	.002
271	.047	.326	.136	.143	.086	.177	.006
272	.047	.217	.347	.327	.032	.065	.003
273	.047	.163	.151	.204	.213	.438	.011
274	.095	.489	.166	.204	.105	.108	.009
275	.0	.0	.091	.122	.0	.0	.0
276	.008	.054	.136	.184	.013	.157	.001
277	.032	.217	.196	.224	.048	.147	.003
278	.008	.054	.136	.102	.013	.157	.001
279	.039	.217	.106	.082	.102	.251	.003
280	.055	.326	.151	.143	.127	.224	.004
281	.071	.272	.0	.0	.073	.1	.011
282	.016	.109	.166	.163	.041	.255	.002
283	.008	.054	.106	.143	.01	.118	.002
284	.039	.272	.151	.143	.105	.259	.007
285	.079	.435	.166	.224	.159	.196	.007
286	.008	.054	.03	.041	.032	.393	.005
287	.11	.38	.347	.388	.159	.14	.009
288	.008	.054	.121	.163	.013	.157	.001
289	.047	.217	.166	.204	.057	.118	.006
290	.032	.217	.091	.122	.111	.344	.003
291	.008	.054	.181	.245	.01	.118	.001
292	.047	.217	.196	.224	.06	.124	.003
293	.008	.054	.091	.122	.016	.196	.001
294	.063	.326	.453	.531	.153	.236	.006
295	.103	.217	.242	.286	.124	.118	.01
296	.118	.326	.196	.204	.064	.052	.013
297	.071	.326	.393	.367	.111	.153	.006
298	.024	.163	.106	.102	.067	.275	.002
299	.0	.0	.03	.041	.0	.0	.0
300	.087	.435	.181	.245	.143	.161	.006
301	.087	.272	.166	.184	.156	.175	.007
302	.024	.163	.272	.306	.064	.262	.001
303	.15	.38	.106	.143	.14	.091	.013
304	.189	.489	.393	.429	.188	.097	.018
305	.174	.38	.045	.061	.191	.107	.017
306	.047	.326	.196	.163	.092	.19	.004
307	.079	.109	.076	.082	.032	.039	.008
308	.039	.272	.196	.184	.076	.188	.049
309	.11	.38	.423	.51	.289	.255	.016
310	.063	.272	.393	.367	.089	.137	.009
311	.047	.217	.076	.102	.099	.203	.004
312	.008	.054	.136	.102	.003	.039	.001
314	.024	.163	.181	.204	.016	.065	.003
315	.032	.217	.181	.224	.108	.334	.004
316	.032	.109	.121	.163	.013	.039	.003
317	.016	.054	.242	.184	.045	.275	.001
318	.039	.217	.438	.408	.079	.196	.005
319	.008	.054	.015	.02	.006	.079	.001
320	.047	.217	.166	.204	.105	.216	.01
321	.103	.489	.317	.408	.235	.224	.009
322	.103	.435	.106	.143	.159	.151	.015
323	.055	.326	.03	.02	.184	.325	.005
324	.016	.109	.136	.184	.025	.157	.002
325	.039	.217	.136	.163	.114	.283	.005
326	.095	.435	.091	.122	.245	.252	.006
327	.016	.109	.03	.041	.019	.118	.002
328	.055	.38	.257	.327	.114	.202	.005
329	.016	.109	.242	.245	.092	.569	.002
330	.134	.435	.136	.143	.21	.152	.009
331	.024	.163	.106	.143	.048	.196	.002
332	.071	.272	.317	.388	.083	.113	.009
333	.118	.326	.242	.327	.07	.058	.01
334	.055	.38	.529	.571	.114	.202	.003
335	.016	.109	.257	.204	.051	.314	.002
336	.134	.38	.015	.02	.165	.12	.009
337	.008	.054	.151	.204	.025	.314	.001
338	.008	.054	.106	.082	.013	.157	.002
339	.047	.326	.076	.082	.146	.301	.005
340	.016	.109	.227	.306	.045	.275	.001
341	.008	.054	.181	.163	.01	.118	.001
342	.047	.217	.166	.102	.086	.177	.004
343	.016	.054	.181	.204	.022	.137	.001
345	.071	.217	.453	.449	.083	.113	.01
346	.11	.435	.121	.163	.134	.118	.009
347	.039	.272	.091	.102	.067	.165	.008
348	.039	.217	.227	.286	.14	.346	.007
349	.016	.109	.196	.265	.06	.373	.003
350	.166	.435	.136	.143	.261	.153	.015
351	.024	.163	.408	.449	.048	.196	.002
352	.032	.217	.091	.122	.137	.422	.007
353	.024	.163	.091	.082	.025	.105	.006
354	.134	.38	.03	.041	.159	.115	.017
355	.0	.0	.091	.122	.0	.0	.0
356	.055	.272	.136	.184	.076	.135	.006
357	.008	.054	.091	.102	.006	.079	.001
358	.016	.109	.106	.143	.089	.55	.005
359	.0	.0	.0	.0	.0	.0	.0
360	.016	.109	.06	.082	.045	.275	.004
361	.095	.435	.272	.286	.27	.278	.005
362	.063	.326	.257	.286	.064	.098	.006
363	.024	.163	.121	.143	.057	.236	.006
364	.0	.0	.136	.163	.0	.0	.0
365	.181	.38	.166	.184	.114	.061	.016
366	.047	.217	.181	.245	.07	.144	.005
367	.055	.272	.106	.122	.146	.258	.008
368	.032	.217	.045	.061	.057	.177	.004
369	.071	.217	.106	.102	.038	.052	.01
370	.079	.272	.181	.184	.172	.212	.006
371	.016	.109	.136	.143	.016	.098	.002
372	.158	.217	.211	.184	.137	.084	.012
373	.071	.272	.045	.061	.073	.1	.009
374	.032	.217	.287	.367	.105	.324	.009
375	.016	.109	.136	.143	.025	.157	.008
376	.039	.217	.498	.388	.118	.291	.006
377	.055	.326	.302	.408	.114	.202	.005
378	.024	.163	.106	.143	.07	.288	.002
379	.016	.109	.181	.184	.045	.275	.001
380	.079	.217	.076	.102	.07	.086	.01
381	.032	.163	.136	.184	.048	.147	.002
382	.032	.217	.136	.102	.076	.236	.004
383	.063	.272	.227	.306	.086	.133	.005
384	.024	.163	.151	.204	.057	.236	.004
385	.142	.543	.166	.184	.226	.155	.01
386	.039	.272	.091	.122	.073	.181	.004
387	.016	.109	.045	.061	.035	.216	.002
388	.047	.272	.076	.102	.146	.301	.007
389	.024	.163	.272	.245	.06	.249	.003
390	.016	.054	.151	.163	.032	.196	.002
391	.063	.38	.257	.286	.067	.103	.005
392	.071	.272	.091	.102	.235	.323	.006
393	.032	.163	.211	.286	.06	.187	.003
394	.008	.054	.076	.102	.045	.55	.002
395	.039	.272	.121	.143	.07	.173	.01
396	.032	.163	.287	.204	.083	.255	.006
397	.095	.489	.363	.347	.168	.173	.006
398	.087	.543	.227	.286	.238	.268	.011
399	.047	.326	.106	.122	.073	.151	.006
400	.039	.272	.091	.122	.118	.291	.004
401	.047	.217	.302	.367	.159	.327	.015
402	.039	.217	.211	.204	.092	.228	.005
403	.047	.326	.257	.245	.137	.281	.004
404	.071	.272	.136	.122	.06	.083	.009
405	.055	.38	.378	.245	.121	.213	.004
406	.126	.598	.468	.592	.273	.211	.024
407	.032	.163	.06	.061	.064	.196	.003
408	.024	.109	.121	.163	.051	.209	.004
409	.016	.109	.121	.102	.105	.648	.002
410	.039	.272	.151	.184	.067	.165	.006
411	.032	.163	.015	.02	.127	.393	.003
412	.071	.38	.211	.286	.273	.375	.005
413	.063	.217	.121	.102	.025	.039	.007
414	.047	.272	.181	.204	.13	.268	.005
415	.055	.272	.106	.122	.114	.202	.006
416	.008	.054	.015	.02	.013	.157	.001
417	.063	.272	.196	.265	.267	.412	.016
418	.055	.217	.257	.265	.245	.432	.004
419	.024	.163	.045	.061	.032	.131	.003
420	.047	.326	.242	.224	.118	.242	.007
421	.039	.272	.03	.041	.048	.118	.009
422	.016	.109	.151	.184	.054	.334	.003
423	.016	.054	.242	.224	.019	.118	.001
424	.016	.109	.181	.122	.041	.255	.001
425	.118	.598	.106	.143	.168	.139	.012
426	.039	.163	.091	.082	.025	.063	.004
427	.047	.217	.211	.286	.051	.105	.003
428	.095	.38	.091	.061	.086	.088	.021
429	.039	.272	.076	.102	.086	.212	.003
430	.063	.435	.151	.163	.121	.187	.004
431	.118	.326	.181	.204	.083	.068	.01
432	.071	.326	.091	.122	.086	.118	.007
433	.118	.38	.287	.347	.118	.097	.008
434	.024	.163	.393	.327	.07	.288	.005
435	.079	.543	.438	.571	.21	.259	.006
436	.071	.38	.166	.204	.076	.105	.007
437	.024	.109	.181	.163	.06	.249	.002
438	.008	.054	.181	.224	.006	.079	.001
439	.032	.217	.196	.245	.089	.275	.005
440	.079	.272	.091	.102	.188	.232	.012
441	.016	.054	.06	.082	.025	.157	.002
442	.118	.38	.181	.184	.102	.084	.012
443	.016	.109	.106	.102	.035	.216	.005
444	.103	.217	.151	.184	.067	.063	.013
445	.016	.109	.106	.143	.045	.275	.003
446	.071	.217	.196	.224	.089	.122	.007
447	.181	.38	.211	.204	.2	.108	.013
448	.126	.326	.196	.265	.162	.125	.014
449	.0	.0	.0	.0	.0	.0	.0
450	.008	.054	.076	.082	.006	.079	.001
451	.016	.109	.06	.061	.006	.039	.002
452	.016	.054	.121	.082	.013	.079	.004
453	.032	.163	.106	.122	.114	.353	.002
454	.055	.272	.166	.184	.127	.224	.005
455	.0	.0	.166	.184	.0	.0	.0
456	.079	.489	.393	.327	.181	.224	.014
457	.039	.217	.076	.102	.079	.196	.003
458	.016	.109	.06	.082	.041	.255	.003
459	.095	.652	.091	.122	.156	.16	.018
460	.079	.489	.106	.143	.153	.188	.006
461	.024	.109	.091	.122	.102	.419	.002
462	.063	.217	.121	.143	.048	.074	.009
463	.039	.163	.332	.408	.099	.243	.003
464	.039	.272	.181	.102	.146	.361	.007
465	.016	.109	.151	.163	.019	.118	.002
466	.024	.109	.151	.143	.06	.249	.003
467	.008	.054	.136	.163	.006	.079	.001
468	.016	.054	.06	.082	.019	.118	.004
469	.055	.326	.242	.286	.057	.101	.006
470	.158	.38	.091	.122	.143	.088	.021
471	.008	.054	.076	.041	.041	.51	.001
472	.047	.272	.287	.286	.095	.196	.004
473	.039	.217	.151	.163	.089	.22	.006
474	.024	.109	.076	.102	.057	.236	.005
475	.039	.272	.196	.184	.114	.283	.004
476	.079	.326	.438	.429	.191	.236	.01
477	.032	.163	.121	.122	.048	.147	.008
478	.047	.272	.076	.082	.067	.137	.005
479	.039	.217	.181	.204	.095	.236	.003
480	.063	.272	.106	.122	.102	.157	.008
481	.095	.272	.091	.122	.121	.124	.009
482	.0	.0	.363	.429	.0	.0	.0
483	.016	.109	.121	.163	.06	.373	.003
484	.0	.0	.166	.224	.0	.0	.0
485	.095	.435	.076	.102	.111	.115	.007
486	.032	.217	.242	.286	.045	.137	.003
487	.032	.163	.151	.163	.025	.079	.005
488	.024	.163	.106	.122	.083	.34	.002
489	.047	.272	.71	.776	.079	.164	.004
490	.055	.217	.181	.204	.143	.252	.004
491	.071	.326	.287	.347	.099	.135	.015
492	.008	.054	.151	.143	.019	.236	.002
493	.016	.109	.393	.469	.124	.766	.003
494	.087	.435	.136	.163	.159	.178	.007
495	.024	.163	.136	.163	.025	.105	.003
496	.063	.272	.272	.327	.073	.113	.008
497	.063	.435	.136	.143	.146	.226	.005
498	.126	.326	.347	.388	.2	.155	.012
499	.008	.054	.03	.041	.006	.079	.001
500	.032	.217	.136	.163	.108	.334	.002
501	.142	.707	.211	.245	.407	.279	.014
502	.0	.0	.136	.143	.0	.0	.0
503	.016	.054	.045	.061	.032	.196	.004
504	.071	.163	.166	.224	.029	.039	.005
505	.087	.38	.242	.265	.121	.136	.008
506	.063	.163	.121	.082	.07	.108	.016
507	.063	.272	.227	.245	.076	.118	.003
508	.047	.217	.166	.184	.06	.124	.007
509	.024	.163	.06	.082	.06	.249	.003
510	.024	.163	.076	.102	.086	.353	.003
511	.016	.109	.076	.082	.054	.334	.003
512	.032	.217	.227	.204	.06	.187	.01
513	.016	.109	.136	.143	.041	.255	.001
514	.016	.109	.136	.184	.016	.098	.002
515	.032	.217	.106	.122	.089	.275	.005
516	.039	.272	.106	.102	.114	.283	.003
517	.055	.272	.317	.408	.124	.219	.005
518	.047	.326	.181	.204	.134	.275	.006
519	.103	.272	.151	.184	.092	.088	.008
520	.032	.217	.151	.122	.083	.255	.007
521	.024	.163	.181	.204	.032	.131	.004
522	.024	.163	.227	.245	.057	.236	.002
523	.024	.163	.091	.122	.067	.275	.002
524	.071	.217	.091	.102	.156	.214	.005
525	.008	.054	.06	.041	.013	.157	.001
526	.008	.054	.106	.143	.01	.118	.001
527	.032	.109	.136	.143	.064	.196	.005
528	.024	.054	.136	.163	.025	.105	.006
529	.032	.217	.196	.224	.102	.314	.013
530	.118	.326	.287	.347	.165	.136	.013
531	.008	.054	.0	.0	.013	.157	.001
532	.024	.163	.257	.327	.064	.262	.003
533	.032	.163	.106	.122	.105	.324	.003
534	.142	.326	.227	.306	.197	.135	.008
535	.016	.109	.196	.163	.048	.295	.002
536	.008	.054	.121	.122	.01	.118	.001
537	.024	.163	.166	.184	.041	.17	.003
538	.047	.272	.151	.102	.134	.275	.007
539	.024	.163	.242	.224	.054	.223	.007
540	.008	.054	.076	.102	.025	.314	.001
541	.024	.163	.181	.245	.073	.301	.002
542	.024	.163	.151	.184	.124	.51	.001
543	.079	.38	.181	.204	.13	.161	.006
544	.024	.163	.151	.204	.054	.223	.003
545	.0	.0	.03	.041	.0	.0	.0
546	.008	.054	.287	.327	.006	.079	.003
547	.047	.163	.166	.061	.099	.203	.005
548	.024	.163	.151	.143	.025	.105	.002
549	.032	.163	.166	.204	.013	.039	.004
550	.142	.489	.151	.143	.143	.098	.009
551	.039	.217	.347	.347	.114	.283	.005
552	.032	.163	.015	.02	.092	.285	.006
553	.024	.163	.498	.347	.038	.157	.003
554	.063	.272	.211	.204	.143	.221	.008
555	.197	.543	.423	.408	.188	.093	.015
556	.071	.163	.196	.102	.035	.048	.005
557	.039	.272	.166	.184	.13	.322	.003
558	.039	.272	.211	.204	.143	.353	.004
559	.039	.272	.121	.122	.111	.275	.004
560	.087	.435	.242	.286	.121	.136	.012
561	.095	.435	.076	.041	.312	.321	.012
562	.016	.109	.227	.306	.06	.373	.001
563	.063	.272	.136	.163	.06	.093	.011
564	.103	.163	.287	.245	.057	.054	.01
565	.047	.326	.242	.265	.067	.137	.004
566	.032	.217	.181	.224	.054	.167	.004
567	.063	.272	.166	.224	.34	.525	.014
568	.055	.38	.227	.265	.124	.219	.005
569	.032	.217	.181	.204	.041	.128	.005
570	.11	.489	.227	.286	.21	.185	.011
571	.024	.163	.242	.245	.045	.183	.003
572	.024	.163	.091	.061	.06	.249	.002
573	.039	.217	.136	.102	.086	.212	.003
574	.063	.272	.136	.184	.095	.147	.006
575	.024	.109	.302	.245	.076	.314	.003
576	.087	.272	.272	.347	.121	.136	.011
577	.008	.054	.076	.102	.022	.275	.003
578	.063	.272	.211	.204	.076	.118	.01
579	.158	.543	.06	.061	.286	.177	.018
580	.11	.326	.332	.184	.102	.09	.009
581	.016	.109	.272	.245	.038	.236	.001
582	.024	.163	.151	.184	.076	.314	.002
583	.047	.326	.106	.122	.06	.124	.006
584	.039	.217	.136	.163	.048	.118	.007
585	.047	.326	.257	.347	.095	.196	.003
586	.047	.326	.227	.265	.118	.242	.006
587	.071	.326	.211	.286	.086	.118	.006
588	.11	.435	.514	.612	.105	.093	.009
589	.0	.0	.03	.041	.0	.0	.0
590	.024	.163	.121	.163	.019	.079	.005
591	.039	.272	.227	.286	.079	.196	.004
592	.024	.054	.317	.367	.051	.209	.002
593	.063	.38	.121	.143	.089	.137	.007
594	.024	.163	.091	.102	.025	.105	.004
595	.016	.109	.106	.082	.105	.648	.003
596	.032	.217	.136	.163	.073	.226	.013
597	.087	.38	.166	.082	.118	.132	.007
598	.118	.707	.438	.531	.353	.291	.015
599	.063	.217	.378	.388	.089	.137	.007
600	.055	.217	.151	.184	.153	.269	.046
601	.016	.109	.121	.163	.022	.137	.003
602	.063	.38	.106	.143	.118	.182	.016
603	.047	.272	.408	.51	.095	.196	.003
604	.071	.272	.166	.204	.083	.113	.008
605	.047	.109	.045	.061	.153	.314	.029
