essId	avgDpt	dptSD	nbDptD	nbDptSD
175	.211	.186	.077	.175
176	.229	.285	.113	.273
177	.204	.164	.058	.132
178	.166	.17	.083	.13
179	.182	.16	.059	.138
180	.208	.193	.058	.186
181	.208	.172	.065	.165
182	.239	.167	.08	.12
183	.208	.193	.063	.153
184	.292	.55	.164	.509
185	.261	.287	.097	.239
186	.222	.219	.067	.203
187	.111	.157	.1	.095
188	.24	.279	.136	.278
189	.125	.12	.047	.116
190	.187	.184	.079	.151
191	.213	.212	.097	.224
192	.188	.188	.067	.175
193	.184	.148	.063	.134
194	.205	.239	.094	.205
195	.202	.274	.091	.244
196	.214	.173	.075	.177
197	.262	.238	.099	.246
198	.23	.197	.075	.202
199	.23	.319	.105	.247
200	.223	.232	.093	.193
201	.211	.186	.079	.151
202	.202	.216	.092	.166
203	.249	.28	.098	.223
204	.184	.205	.073	.177
205	.168	.202	.082	.152
206	.212	.186	.075	.128
207	.188	.175	.08	.161
208	.223	.186	.074	.123
209	.26	.445	.18	.523
210	.214	.166	.073	.117
211	.214	.222	.093	.228
212	.191	.206	.09	.223
213	.237	.313	.119	.212
214	.248	.307	.119	.293
215	.228	.232	.077	.161
216	.279	.3	.102	.264
217	.178	.256	.101	.198
218	.18	.126	.051	.119
219	.217	.291	.128	.27
220	.169	.192	.092	.164
221	.173	.141	.045	.107
222	.195	.205	.077	.217
223	.303	.344	.128	.314
224	.236	.271	.102	.201
225	.18	.187	.069	.135
226	.177	.171	.074	.143
227	.222	.216	.079	.229
228	.286	.269	.117	.216
229	.196	.351	.123	.324
230	.2	.183	.061	.141
231	.179	.178	.066	.141
232	.193	.218	.096	.21
233	.221	.306	.111	.226
234	.187	.203	.069	.204
235	.197	.331	.082	.337
236	.243	.253	.108	.216
237	.253	.31	.098	.253
238	.259	.297	.116	.239
239	.236	.109	.051	.088
240	.182	.226	.093	.218
241	.225	.333	.117	.252
242	.197	.153	.072	.12
243	.26	.329	.101	.293
244	.304	.322	.133	.21
245	.316	.35	.148	.394
246	.201	.251	.085	.208
247	.184	.242	.089	.228
248	.187	.217	.063	.14
249	.189	.178	.072	.171
250	.177	.178	.076	.128
251	.271	.235	.099	.228
252	.224	.308	.104	.272
253	.278	.288	.094	.198
254	.244	.31	.105	.278
255	.206	.26	.099	.21
256	.224	.249	.084	.175
257	.298	.432	.161	.395
258	.242	.239	.1	.203
259	.214	.222	.087	.201
260	.196	.246	.08	.166
261	.204	.211	.088	.144
262	.315	.245	.107	.197
263	.204	.15	.067	.124
264	.234	.179	.047	.097
265	.163	.217	.085	.188
266	.21	.14	.045	.114
267	.247	.218	.118	.145
268	.225	.202	.087	.192
269	.245	.315	.122	.295
270	.234	.284	.116	.242
271	.212	.148	.068	.14
272	.189	.255	.085	.27
273	.304	.395	.164	.414
274	.188	.218	.077	.22
275	.181	.15	.055	.151
276	.215	.202	.076	.199
277	.209	.211	.092	.182
278	.192	.151	.055	.128
279	.185	.184	.068	.141
280	.165	.169	.08	.167
281	.232	.198	.084	.181
282	.219	.19	.073	.197
283	.288	.326	.1	.275
284	.27	.415	.19	.468
285	.233	.231	.085	.175
286	.227	.298	.14	.079
287	.226	.284	.12	.237
288	.174	.164	.067	.126
289	.223	.228	.087	.158
290	.228	.23	.088	.161
291	.195	.208	.085	.223
292	.191	.19	.091	.168
293	.22	.323	.122	.284
294	.228	.223	.086	.183
295	.188	.18	.055	.124
296	.269	.257	.102	.16
297	.237	.212	.088	.191
298	.218	.194	.065	.154
299	.239	.275	.102	.214
300	.201	.212	.089	.148
301	.189	.258	.11	.248
302	.177	.153	.056	.138
303	.19	.254	.108	.196
304	.231	.2	.069	.21
305	.249	.264	.077	.199
306	.201	.169	.053	.171
307	.188	.204	.081	.171
308	.686	.192	.133	.0
309	.277	.247	.109	.237
310	.214	.269	.124	.255
311	.199	.18	.058	.136
312	.196	.172	.063	.165
314	.254	.305	.123	.287
315	.225	.24	.102	.213
316	.233	.267	.1	.251
317	.219	.22	.072	.165
318	.23	.23	.103	.207
319	.177	.198	.073	.167
320	.293	.286	.129	.223
321	.23	.317	.15	.232
322	.275	.32	.103	.245
323	.228	.34	.137	.335
324	.257	.307	.114	.257
325	.246	.245	.098	.21
326	.208	.184	.079	.123
327	.216	.281	.114	.296
328	.198	.214	.066	.144
329	.257	.267	.111	.289
330	.23	.248	.085	.188
331	.189	.16	.057	.112
332	.205	.23	.102	.189
333	.177	.217	.095	.235
334	.203	.215	.076	.179
335	.267	.411	.145	.487
336	.203	.147	.059	.13
337	.17	.166	.064	.164
338	.312	.14	.069	.116
339	.3	.352	.119	.394
340	.18	.203	.083	.141
341	.251	.356	.177	.281
342	.211	.199	.079	.16
343	.212	.17	.07	.154
345	.237	.314	.126	.357
346	.234	.212	.09	.17
347	.308	.324	.155	.297
348	.255	.29	.103	.18
349	.221	.306	.093	.204
350	.205	.175	.063	.134
351	.173	.184	.065	.175
352	.292	.361	.142	.349
353	.206	.249	.084	.252
354	.167	.206	.084	.193
355	.203	.199	.105	.124
356	.173	.228	.086	.164
357	.223	.321	.105	.358
358	.326	.243	.123	.182
359	.133	.0	.133	.0
360	.217	.28	.115	.25
361	.189	.208	.079	.179
362	.198	.2	.088	.202
363	.299	.314	.162	.146
364	.232	.207	.077	.171
365	.209	.221	.088	.194
366	.219	.27	.095	.223
367	.238	.202	.093	.187
368	.207	.204	.099	.179
369	.163	.18	.074	.163
370	.233	.259	.093	.224
371	.184	.165	.078	.125
372	.19	.143	.061	.124
373	.199	.239	.081	.225
374	.455	.48	.221	.448
375	.398	.394	.16	.259
376	.294	.433	.176	.402
377	.176	.222	.072	.184
378	.211	.22	.084	.151
379	.211	.171	.07	.14
380	.18	.144	.063	.15
381	.184	.168	.073	.13
382	.183	.189	.076	.126
383	.234	.287	.099	.213
384	.208	.215	.079	.211
385	.218	.166	.064	.139
386	.24	.223	.104	.222
387	.208	.207	.079	.181
388	.205	.166	.074	.17
389	.198	.247	.077	.235
390	.228	.289	.111	.31
391	.202	.321	.1	.353
392	.229	.264	.12	.29
393	.185	.188	.074	.136
394	.211	.3	.103	.209
395	.248	.288	.123	.167
396	.288	.314	.122	.329
397	.206	.212	.086	.175
398	.225	.197	.076	.158
399	.244	.28	.107	.279
400	.213	.265	.119	.244
401	.243	.181	.079	.147
402	.196	.203	.067	.155
403	.226	.354	.131	.424
404	.257	.299	.123	.287
405	.239	.295	.112	.284
406	.436	.672	.326	.445
407	.198	.216	.083	.202
408	.224	.224	.102	.182
409	.254	.289	.08	.175
410	.249	.234	.088	.234
411	.232	.227	.069	.206
412	.199	.14	.066	.121
413	.214	.215	.079	.171
414	.24	.21	.101	.17
415	.186	.179	.088	.172
416	.204	.205	.087	.223
417	.319	.308	.152	.276
418	.217	.169	.065	.161
419	.202	.217	.073	.235
420	.199	.178	.072	.096
421	.261	.336	.128	.276
422	.361	.555	.173	.488
423	.26	.375	.12	.39
424	.211	.248	.086	.169
425	.203	.187	.074	.177
426	.247	.177	.072	.179
427	.191	.155	.066	.142
428	.32	.424	.186	.317
429	.188	.19	.072	.141
430	.194	.224	.093	.2
431	.228	.235	.082	.195
432	.151	.138	.061	.136
433	.188	.178	.072	.167
434	.374	.4	.161	.245
435	.234	.222	.101	.191
436	.201	.161	.055	.146
437	.195	.194	.079	.139
438	.184	.149	.054	.124
439	.332	.357	.124	.343
440	.229	.186	.075	.149
441	.198	.197	.085	.178
442	.233	.254	.098	.245
443	.371	.243	.117	.205
444	.201	.23	.098	.248
445	.267	.422	.149	.325
446	.245	.217	.073	.167
447	.195	.186	.079	.165
448	.23	.179	.064	.164
449	.265	.0	.265	.0
450	.254	.261	.118	.218
451	.207	.186	.08	.146
452	.212	.304	.116	.285
453	.181	.138	.058	.12
454	.237	.227	.088	.185
455	.324	.247	.177	.063
456	.288	.301	.145	.298
457	.209	.18	.066	.131
458	.223	.237	.095	.203
459	.248	.216	.079	.161
460	.19	.227	.06	.211
461	.172	.205	.067	.161
462	.245	.35	.128	.404
463	.221	.291	.101	.194
464	.245	.232	.098	.226
465	.194	.196	.077	.174
466	.238	.256	.088	.231
467	.208	.187	.065	.163
468	.275	.457	.13	.359
469	.199	.273	.096	.303
470	.233	.21	.074	.179
471	.181	.213	.084	.17
472	.204	.215	.093	.254
473	.245	.299	.137	.232
474	.207	.23	.097	.195
475	.244	.253	.101	.222
476	.255	.272	.095	.199
477	.241	.256	.113	.219
478	.236	.233	.064	.156
479	.209	.181	.079	.141
480	.236	.198	.086	.144
481	.213	.207	.056	.189
482	.203	.258	.089	.308
483	.31	.406	.145	.338
484	.197	.185	.07	.165
485	.211	.194	.09	.166
486	.211	.229	.085	.219
487	.23	.283	.112	.243
488	.181	.186	.062	.155
489	.204	.2	.087	.24
490	.189	.242	.087	.198
491	.264	.509	.201	.385
492	.247	.253	.112	.228
493	.276	.442	.16	.465
494	.188	.168	.065	.13
495	.19	.198	.074	.174
496	.208	.202	.08	.17
497	.248	.211	.087	.199
498	.216	.254	.086	.187
499	.178	.216	.1	.177
500	.18	.197	.076	.159
501	.194	.302	.077	.229
502	.323	.315	.094	.192
503	.31	.362	.189	.287
504	.174	.201	.082	.18
505	.197	.27	.107	.279
506	.327	.384	.103	.239
507	.191	.2	.076	.196
508	.234	.315	.152	.344
509	.25	.247	.103	.198
510	.169	.1	.041	.086
511	.256	.251	.088	.165
512	.433	.467	.21	.21
513	.197	.193	.065	.169
514	.187	.157	.071	.166
515	.283	.262	.092	.209
516	.202	.202	.095	.167
517	.214	.196	.066	.15
518	.201	.148	.048	.097
519	.188	.156	.056	.118
520	.328	.283	.095	.22
521	.232	.353	.084	.256
522	.199	.191	.061	.166
523	.252	.285	.1	.268
524	.157	.211	.078	.202
525	.215	.238	.071	.214
526	.223	.192	.082	.143
527	.185	.155	.061	.085
528	.237	.121	.061	.107
529	.295	.172	.066	.165
530	.205	.181	.065	.186
531	.191	.196	.073	.151
532	.238	.229	.088	.196
533	.217	.203	.074	.165
534	.211	.191	.09	.175
535	.253	.292	.111	.256
536	.193	.114	.042	.089
537	.222	.25	.116	.209
538	.299	.49	.137	.515
539	.258	.241	.094	.295
540	.268	.355	.127	.439
541	.185	.218	.086	.205
542	.19	.213	.084	.195
543	.165	.166	.064	.138
544	.209	.233	.074	.22
545	.166	.032	.022	.0
546	.302	.232	.097	.178
547	.224	.223	.089	.213
548	.199	.206	.071	.181
549	.231	.19	.056	.154
550	.212	.236	.087	.203
551	.252	.274	.118	.178
552	.218	.284	.1	.189
553	.252	.403	.166	.398
554	.296	.259	.097	.184
555	.225	.257	.098	.187
556	.218	.265	.11	.229
557	.227	.289	.116	.238
558	.226	.25	.11	.232
559	.217	.155	.07	.171
560	.24	.214	.091	.213
561	.24	.254	.102	.298
562	.212	.199	.073	.19
563	.188	.14	.06	.15
564	.233	.267	.086	.182
565	.211	.17	.073	.136
566	.199	.157	.068	.163
567	.276	.247	.102	.209
568	.227	.23	.102	.192
569	.255	.237	.105	.177
570	.228	.288	.098	.241
571	.207	.22	.096	.19
572	.233	.226	.103	.195
573	.227	.245	.08	.274
574	.174	.219	.094	.19
575	.233	.241	.087	.195
576	.247	.263	.093	.206
577	.265	.197	.082	.188
578	.221	.206	.085	.174
579	.204	.166	.071	.115
580	.199	.233	.096	.175
581	.201	.185	.066	.157
582	.172	.189	.07	.178
583	.299	.259	.105	.272
584	.265	.354	.126	.28
585	.204	.292	.112	.26
586	.194	.154	.058	.134
587	.202	.284	.093	.253
588	.213	.304	.092	.25
589	.247	.21	.066	.179
590	.179	.16	.053	.123
591	.24	.263	.115	.197
592	.142	.146	.048	.107
593	.2	.198	.082	.186
594	.183	.258	.093	.265
595	.22	.2	.09	.211
596	.306	.275	.084	.217
597	.198	.21	.073	.16
598	.217	.252	.099	.217
599	.258	.228	.076	.163
600	.125	.331	.122	.349
601	.209	.191	.071	.158
602	.254	.236	.106	.225
603	.222	.258	.109	.227
604	.206	.197	.071	.156
605	.299	.479	.243	.137
606	.25	.29	.092	.243
607	.257	.278	.105	.224
608	.259	.333	.1	.166
609	.31	.298	.149	.266
610	.192	.254	.069	.157
611	.284	.371	.143	.277
612	.2	.234	.086	.219
613	.196	.195	.072	.15
614	.215	.214	.071	.158
615	.243	.371	.167	.295
616	.391	.233	.111	.185
617	.249	.235	.098	.237
618	.189	.204	.081	.208
619	.203	.199	.077	.174
620	.19	.152	.044	.098
621	.332	.654	.398	.444
622	.198	.245	.091	.222
623	.257	.346	.073	.266
624	.212	.262	.107	.247
625	.242	.26	.114	.238
626	.267	.345	.146	.256
627	.269	.499	.171	.409
628	.234	.279	.142	.275
629	.178	.235	.094	.227
630	.239	.251	.1	.196
631	.205	.167	.085	.162
632	.234	.18	.063	.142
633	.251	.298	.124	.301
634	.236	.536	.221	.254
635	.166	.187	.072	.166
636	.236	.228	.087	.245
637	.205	.336	.093	.261
638	.213	.2	.074	.188
639	.272	.262	.133	.214
640	.283	.272	.1	.285
641	.195	.196	.069	.149
642	.208	.232	.088	.2
643	.181	.191	.069	.149
644	.189	.18	.076	.166
645	.195	.251	.107	.176
646	.27	.43	.164	.356
647	.221	.233	.094	.248
648	.155	.128	.052	.123
649	.223	.2	.084	.16
650	.198	.205	.083	.212
651	.192	.167	.074	.138
652	.192	.158	.059	.111
653	.246	.291	.09	.264
654	.194	.185	.074	.179
655	.205	.314	.085	.182
656	.335	.402	.148	.319
657	.204	.183	.071	.166
658	.24	.407	.1	.331
659	.223	.233	.092	.255
660	.196	.145	.054	.114
661	.233	.238	.063	.141
662	.261	.273	.086	.202
663	.219	.19	.093	.148
664	.211	.222	.081	.153
665	.259	.201	.083	.176
666	.288	.29	.107	.257
667	.251	.202	.062	.143
668	.168	.188	.07	.164
669	.239	.22	.083	.201
670	.246	.233	.08	.208
671	.243	.424	.144	.382
672	.243	.191	.085	.149
673	.194	.223	.088	.21
674	.196	.218	.088	.219
675	.22	.419	.17	.443
676	.284	.283	.071	.214
677	.265	.359	.115	.338
678	.313	.34	.128	.338
679	.19	.192	.069	.148
680	.31	.319	.091	.224
681	.265	.278	.081	.214
682	.197	.266	.081	.243
683	.178	.199	.067	.143
684	.206	.233	.08	.204
685	.215	.206	.072	.143
686	.215	.314	.123	.319
687	.25	.443	.129	.493
688	.239	.236	.071	.181
689	.232	.237	.103	.192
690	.197	.218	.076	.165
691	.372	.544	.323	.317
692	.096	.211	.077	.222
693	.292	.403	.221	.36
694	.22	.235	.078	.219
695	.247	.229	.082	.202
696	.217	.201	.078	.157
697	.192	.167	.054	.127
698	.336	.243	.088	.145
699	.217	.21	.08	.169
700	.246	.278	.139	.301
701	.186	.16	.064	.129
702	.284	.305	.144	.21
703	.25	.307	.122	.228
704	.229	.232	.119	.208
705	.214	.282	.12	.245
706	.188	.198	.081	.154
707	.225	.374	.168	.406
708	.251	.267	.113	.204
709	.222	.358	.134	.297
710	.19	.222	.088	.191
711	.261	.211	.094	.144
712	.233	.276	.097	.226
713	.187	.164	.067	.167
714	.195	.179	.072	.156
715	.216	.288	.157	.252
716	.182	.199	.071	.183
717	.167	.158	.052	.114
718	.192	.147	.065	.122
719	.224	.262	.104	.184
720	.27	.265	.096	.218
721	.255	.275	.102	.233
722	.191	.238	.094	.209
723	.221	.172	.062	.119
724	.2	.173	.07	.169
725	.304	.386	.19	.401
726	.211	.184	.068	.155
727	.23	.323	.158	.292
728	.227	.218	.093	.186
729	.196	.167	.069	.167
730	.238	.256	.107	.222
731	.248	.245	.088	.155
732	.232	.224	.102	.193
733	.155	.178	.086	.112
734	.206	.283	.097	.211
735	.269	.267	.111	.186
736	.223	.275	.093	.201
737	.186	.206	.092	.203
738	.259	.238	.126	.236
739	.175	.208	.082	.187
740	.296	.361	.165	.282
741	.249	.151	.069	.133
742	.206	.275	.116	.286
743	.204	.217	.088	.179
744	.21	.192	.08	.138
745	.335	.357	.158	.402
746	.187	.149	.058	.148
747	.193	.207	.065	.212
748	.247	.391	.134	.383
749	.183	.169	.061	.166
750	.223	.293	.088	.232
751	.242	.216	.099	.193
752	.27	.221	.1	.161
753	.349	.465	.232	.513
754	.226	.225	.08	.15
755	.235	.267	.093	.215
756	.354	.351	.171	.277
757	.209	.191	.075	.17
758	.212	.217	.062	.149
759	.199	.206	.074	.19
760	.225	.285	.113	.298
761	.243	.266	.1	.211
762	.184	.209	.087	.188
763	.159	.146	.069	.145
764	.238	.288	.114	.22
765	.199	.246	.095	.258
766	.322	.292	.091	.216
767	.224	.229	.09	.218
768	.316	.382	.129	.411
769	.207	.165	.067	.129
770	.209	.167	.068	.123
771	.27	.369	.147	.301
772	.203	.176	.073	.172
773	.223	.24	.1	.221
774	.262	.18	.074	.164
775	.149	.123	.044	.092
776	.343	.514	.243	.405
777	.179	.216	.08	.195
778	.226	.259	.107	.202
779	.214	.204	.053	.123
780	.258	.322	.104	.269
781	.23	.237	.092	.185
782	.189	.212	.069	.217
783	.269	.285	.119	.271
784	.208	.184	.064	.132
785	.259	.245	.083	.197
786	.176	.174	.07	.141
787	.217	.237	.112	.247
788	.335	.386	.164	.354
789	.243	.332	.111	.145
790	.211	.19	.073	.172
791	.206	.184	.064	.125
792	.196	.177	.058	.137
793	.212	.181	.075	.175
794	.214	.275	.09	.229
795	.196	.173	.058	.15
796	.187	.184	.071	.157
797	.19	.251	.09	.202
798	.241	.208	.086	.171
799	.234	.294	.094	.201
800	.248	.275	.104	.254
801	.169	.176	.064	.152
802	.216	.226	.085	.237
803	.2	.222	.061	.147
804	.192	.207	.081	.184
805	.193	.161	.054	.11
806	.158	.143	.071	.134
807	.2	.194	.082	.208
808	.176	.199	.06	.168
809	.162	.185	.07	.198
810	.188	.197	.068	.179
811	.217	.286	.112	.268
812	.237	.25	.109	.203
813	.275	.279	.139	.255
814	.235	.202	.079	.164
815	.178	.251	.093	.247
816	.234	.229	.102	.201
817	.19	.17	.058	.161
818	.202	.235	.079	.27
819	.246	.279	.115	.227
820	.265	.326	.17	.125
821	.218	.247	.079	.198
822	.296	.604	.131	.298
823	.235	.206	.084	.185
824	.2	.232	.101	.188
825	.275	.237	.105	.188
826	.179	.184	.067	.155
827	.211	.145	.069	.129
828	.179	.205	.064	.184
829	.215	.337	.114	.268
830	.197	.221	.096	.19
831	.197	.159	.067	.137
832	.288	.0	.288	.0
833	.211	.208	.091	.219
834	.185	.185	.063	.115
835	.245	.197	.077	.18
836	.2	.217	.084	.196
837	.241	.292	.094	.25
838	.205	.163	.081	.154
839	.205	.266	.114	.216
840	.22	.175	.084	.138
841	.197	.165	.066	.102
842	.211	.286	.098	.21
843	.305	.425	.163	.456
844	.161	.179	.082	.146
845	.197	.182	.071	.179
846	.234	.265	.1	.22
847	.199	.285	.119	.291
848	.214	.272	.1	.25
849	.257	.357	.139	.255
850	.184	.225	.069	.178
851	.234	.192	.073	.123
852	.192	.218	.083	.233
853	.219	.222	.091	.171
854	.176	.123	.037	.087
855	.232	.322	.117	.229
856	.268	.225	.086	.178
857	.42	.599	.336	.379
858	.217	.136	.06	.092
859	.196	.181	.067	.173
860	.177	.232	.068	.294
861	.2	.196	.071	.14
862	.256	.175	.062	.161
863	.294	.424	.138	.379
864	.236	.197	.093	.166
865	.25	.347	.138	.379
866	.197	.212	.084	.205
867	.243	.279	.097	.203
868	.191	.28	.094	.296
869	.277	.265	.148	.209
870	.284	.308	.146	.309
871	.161	.205	.084	.177
872	.211	.282	.093	.201
873	.256	.498	.156	.429
874	.198	.217	.094	.172
875	.228	.208	.074	.163
876	.166	.207	.07	.183
877	.258	.24	.088	.206
878	.23	.325	.125	.362
879	.261	.258	.084	.194
880	.261	.309	.112	.342
881	.208	.22	.07	.184
882	.201	.258	.101	.252
883	.262	.263	.11	.181
884	.258	.278	.114	.221
885	.297	.157	.074	.134
886	.226	.2	.077	.21
887	.157	.182	.066	.172
888	.229	.289	.101	.241
889	.201	.232	.088	.216
890	.224	.275	.105	.233
891	.192	.18	.07	.143
892	.172	.162	.072	.156
893	.18	.161	.066	.142
894	.201	.193	.072	.142
895	.223	.211	.096	.208
896	.267	.305	.129	.321
897	.188	.231	.096	.194
898	.291	.253	.088	.161
899	.205	.179	.071	.166
900	.207	.214	.101	.164
901	.288	.474	.218	.4
902	.23	.259	.107	.254
903	.252	.244	.08	.254
904	.254	.306	.13	.359
905	.295	.138	.041	.125
906	.219	.232	.079	.164
907	.236	.275	.106	.236
908	.243	.218	.07	.143
909	.17	.196	.07	.174
910	.241	.296	.132	.231
911	.221	.246	.114	.226
912	.204	.243	.099	.194
913	.239	.257	.09	.191
914	.295	.385	.132	.318
915	.218	.252	.095	.195
916	.188	.187	.063	.133
917	.241	.228	.08	.213
918	.233	.256	.106	.233
919	.245	.281	.126	.211
920	.201	.23	.096	.21
921	.201	.2	.077	.169
922	.222	.208	.059	.124
923	.162	.123	.047	.144
924	.263	.322	.142	.22
925	.173	.223	.065	.156
926	.189	.248	.081	.204
927	.241	.317	.118	.284
928	.179	.151	.05	.133
929	.184	.175	.066	.131
930	.199	.17	.055	.134
931	.198	.178	.069	.155
932	.234	.365	.14	.34
933	.194	.184	.073	.17
934	.202	.161	.076	.122
935	.235	.292	.119	.241
936	.265	.258	.075	.174
937	.228	.211	.09	.224
938	.224	.272	.098	.168
939	.29	.276	.111	.152
940	.335	.461	.209	.274
941	.179	.164	.059	.138
942	.212	.211	.085	.185
943	.238	.289	.093	.194
944	.285	.215	.091	.192
945	.196	.185	.077	.162
946	.186	.233	.08	.163
947	.178	.151	.065	.12
948	.243	.252	.086	.242
949	.237	.461	.186	.528
950	.214	.23	.081	.171
951	.231	.218	.063	.108
952	.235	.283	.111	.239
953	.213	.245	.106	.185
954	.223	.198	.069	.113
955	.235	.385	.116	.314
956	.189	.203	.081	.176
957	.215	.25	.092	.238
958	.214	.206	.083	.164
959	.191	.235	.093	.216
960	.253	.196	.082	.167
961	.21	.261	.112	.27
962	.205	.212	.069	.184
963	.232	.325	.151	.252
964	.22	.179	.082	.16
965	.256	.408	.122	.336
966	.209	.234	.098	.244
967	.178	.164	.078	.143
968	.219	.213	.094	.169
969	.198	.227	.088	.192
970	.243	.232	.103	.195
971	.198	.212	.071	.251
972	.279	.284	.114	.222
973	.219	.306	.133	.345
974	.243	.104	.066	.063
975	.199	.259	.122	.194
976	.267	.409	.155	.282
977	.172	.203	.076	.2
978	.243	.251	.106	.239
979	.167	.152	.059	.129
980	.198	.245	.09	.205
981	.3	.199	.08	.126
982	.25	.231	.107	.161
983	.218	.27	.101	.28
984	.171	.203	.079	.205
985	.208	.248	.094	.229
986	.224	.279	.106	.233
987	.221	.234	.086	.178
988	.201	.311	.1	.28
989	.21	.216	.072	.164
990	.157	.189	.062	.183
991	.274	.202	.101	.151
992	.321	.25	.14	.209
993	.199	.156	.06	.111
994	.277	.281	.12	.211
995	.305	.187	.077	.114
996	.251	.271	.139	.243
997	.212	.2	.071	.167
998	.198	.178	.071	.145
